BJD - 2454833, Corrected Flux
2565.299853834, 1.000254495,
2565.320285787, 1.000138279,
2565.340717639, 1.000096962,
2565.361149691, 1.000185144,
2565.402013494, 1.000239703,
2565.422445544, 1.000297406,
2565.442877495, 1.000214888,
2565.463309344, 1.000251850,
2565.483741393, 1.000256019,
2565.504173342, 1.000076487,
2565.524605191, 1.000224269,
2565.545037238, 1.000113821,
2565.565469186, 1.000127571,
2565.585901133, 1.000136220,
2565.606333079, 1.000146693,
2565.647196971, 1.000144395,
2565.667628916, 1.000258060,
2565.688060860, 1.000168423,
2565.708492904, 1.000215748,
2565.728924748, 1.000156494,
2565.749356692, 1.000114695,
2565.769788634, 1.000101822,
2565.790220576, 1.000103473,
2565.810652518, 1.000160470,
2565.831084560, 1.000169672,
2565.851516400, 0.999876687,
2565.892380381, 1.000208109,
2565.912812221, 1.000244234,
2565.933244160, 1.000216952,
2565.953676199, 1.000128685,
2565.974108037, 1.000167270,
2565.994539974, 1.000158455,
2566.014972012, 1.000174088,
2566.035403849, 1.000042031,
2566.055835785, 1.000135483,
2566.076267821, 1.000095100,
2566.096699756, 1.000121889,
2566.137563626, 1.000129691,
2566.157995560, 0.999903238,
2566.178427393, 0.999888292,
2566.198859427, 1.000032232,
2566.219291359, 1.000265332,
2566.239723192, 1.000142908,
2566.260155223, 1.000258863,
2566.280587155, 1.000127612,
2566.301018986, 1.000142688,
2566.321451016, 1.000138400,
2566.341882946, 1.000171111,
2566.382746805, 1.000218903,
2566.403178734, 1.000194598,
2566.423610662, 1.000172567,
2566.444042589, 1.000098355,
2566.464474517, 1.000223659,
2566.484906344, 1.000114267,
2566.505338370, 1.000170476,
2566.525770296, 1.000186400,
2566.546202222, 1.000128011,
2566.566634147, 1.000147162,
2566.587066071, 1.000144737,
2566.627929919, 1.000266267,
2566.648361842, 1.000164669,
2566.668793865, 1.000174199,
2566.689225687, 1.000210074,
2566.709657609, 1.000163817,
2566.730089631, 1.000191571,
2566.750521452, 1.000240881,
2566.770953372, 1.000220696,
2566.811817212, 1.000213203,
2566.832249131, 1.000144011,
2566.893544886, 1.000147782,
2566.913976903, 1.000116741,
2566.934408820, 1.000049611,
2566.954840637, 1.000214749,
2566.975272653, 1.000087561,
2566.995704569, 1.000099057,
2567.016136384, 1.000087900,
2567.036568399, 1.000054427,
2567.057000313, 1.000103158,
2567.077432127, 1.000157639,
2567.118296053, 0.999773327,
2567.138727865, 0.999663563,
2567.159159877, 0.999836335,
2567.179591789, 1.000124608,
2567.200023600, 1.000041498,
2567.220455611, 1.000074718,
2567.240887421, 1.000069981,
2567.261319431, 1.000096001,
2567.281751340, 1.000098296,
2567.302183150, 1.000088952,
2567.322615058, 1.000105948,
2567.363478974, 1.000064185,
2567.383910781, 1.000091981,
2567.404342788, 1.000154694,
2567.424774694, 1.000054476,
2567.445206600, 1.000046071,
2567.465638505, 1.000192492,
2567.486070410, 1.000114341,
2567.506502415, 1.000168244,
2567.526934219, 1.000156439,
2567.547366123, 1.000218003,
2567.567798126, 1.000148296,
2567.608661831, 1.000344780,
2567.629093833, 1.000164918,
2567.649525634, 1.000104236,
2567.669957535, 1.000159937,
2567.690389536, 1.000166308,
2567.710821336, 1.000051831,
2567.731253235, 1.000233018,
2567.751685235, 1.000195960,
2567.772117134, 1.000095467,
2567.792548932, 1.000088751,
2567.812980930, 1.000166525,
2567.833412827, 1.000099237,
2567.853844624, 1.000117317,
2567.874276621, 1.000165187,
2567.894708517, 1.000025796,
2567.915140313, 1.000190800,
2567.935572308, 1.000130195,
2567.956004203, 1.000063952,
2567.976435998, 1.000062647,
2567.996867992, 1.000170806,
2568.017299885, 1.000155585,
2568.037731678, 1.000140526,
2568.058163671, 1.000065404,
2568.099027355, 0.999777401,
2568.119459347, 0.999934354,
2568.139891138, 1.000016734,
2568.160323028, 1.000080016,
2568.180755018, 1.000091171,
2568.201186908, 1.000043691,
2568.221618697, 1.000055493,
2568.242050686, 1.000047747,
2568.262482575, 1.000138722,
2568.282914362, 1.000141408,
2568.303346350, 1.000143973,
2568.344210223, 1.000107595,
2568.364642010, 1.000149290,
2568.385073896, 1.000057448,
2568.405505881, 1.000094898,
2568.425937666, 0.999955030,
2568.446369550, 1.000164808,
2568.466801534, 1.000157201,
2568.487233318, 1.000142602,
2568.507665201, 1.000057218,
2568.528097184, 1.000112092,
2568.548528966, 1.000127791,
2568.589392829, 1.000134329,
2568.609824711, 0.999996612,
2568.630256491, 1.000039613,
2568.650688471, 1.000040454,
2568.671120351, 1.000155877,
2568.691552131, 1.000086717,
2568.711984109, 1.000060780,
2568.732415988, 1.000120368,
2568.752847766, 1.000129592,
2568.773279743, 1.000090309,
2568.793711621, 1.000136267,
2568.834575374, 0.999926040,
2568.855007150, 0.999973637,
2568.875439025, 1.000096484,
2568.895871000, 1.000085898,
2568.916302775, 0.999930986,
2568.936734649, 0.999977098,
2568.957166623, 1.000015247,
2568.977598396, 1.000003967,
2568.998030269, 1.000046366,
2569.018462242, 0.999854292,
2569.038894114, 0.999675245,
2569.079757857, 0.999896263,
2569.100189727, 1.000064398,
2569.120621498, 1.000075990,
2569.141053468, 0.999894192,
2569.161485337, 1.000035325,
2569.181917306, 1.000104436,
2569.202349075, 1.000000981,
2569.222780944, 0.999916387,
2569.243212911, 0.999990147,
2569.263644679, 1.000044747,
2569.284076546, 1.000018320,
2569.324940279, 0.999990980,
2569.406667739, 1.000092463,
2569.427099703, 0.999863766,
2569.447531566, 0.999965465,
2569.467963330, 1.000096454,
2569.488395293, 1.000015724,
2569.508827155, 0.999919542,
2569.529258917, 0.999965792,
2569.549690879, 1.000020035,
2569.570122639, 0.999920806,
2569.590554500, 1.000037180,
2569.610986460, 0.999998421,
2569.631418220, 0.999945519,
2569.651850080, 0.999902514,
2569.672282039, 1.000062769,
2569.692713797, 1.000085499,
2569.713145656, 1.000026415,
2569.733577613, 1.000033557,
2569.754009371, 1.000082583,
2569.774441228, 1.000042229,
2569.815304940, 0.999975581,
2569.835736796, 1.000026020,
2569.856168751, 1.000058677,
2569.876600606, 0.999892015,
2569.897032361, 0.999839497,
2569.917464315, 0.999901268,
2569.937896168, 0.999887933,
2569.958327921, 0.999893996,
2569.978759874, 0.999737314,
2569.999191727, 0.999785116,
2570.019623679, 1.000039076,
2570.060487281, 1.000106860,
2570.080919232, 1.000110933,
2570.101350982, 0.999859446,
2570.121782832, 0.999798983,
2570.142214782, 1.000015692,
2570.162646531, 0.999879690,
2570.183078379, 0.999856425,
2570.203510328, 0.999923032,
2570.223942075, 1.000004658,
2570.244373923, 0.999795949,
2570.264805870, 0.999880736,
2570.305669463, 0.999847703,
2570.326101309, 0.999840635,
2570.346533154, 1.000390800,
2570.366964999, 0.999849677,
2570.387396943, 0.999876878,
2570.407828688, 0.999882391,
2570.428260531, 0.999840928,
2570.448692475, 0.999795595,
2570.469124217, 0.999913532,
2570.489556060, 1.000074571,
2570.509988002, 1.000052266,
2570.530419744, 0.999860728,
2570.550851585, 0.999638957,
2570.571283526, 0.999729023,
2570.591715266, 0.999935586,
2570.612147106, 0.999795160,
2570.632579046, 0.999783897,
2570.653010785, 0.999917988,
2570.673442624, 0.999901313,
2570.693874562, 0.999873065,
2570.714306401, 0.999633232,
2570.734738138, 0.999681221,
2570.755170075, 0.999828180,
2570.796033649, 0.999728541,
2570.816465584, 0.999717169,
2570.836897420, 0.999787161,
2570.857329155, 0.999794137,
2570.877761090, 0.999838454,
2570.898192925, 0.999874612,
2570.918624858, 0.999791056,
2570.939056592, 0.999656863,
2570.959488425, 0.999396751,
2570.979920358, 0.999560381,
2571.000352090, 0.999768024,
2571.020783922, 0.999986947,
2571.041215854, 0.999854792,
2571.061647585, 0.999678118,
2571.082079416, 0.999642615,
2571.102511246, 0.999665309,
2571.122943076, 0.999694186,
2571.143374906, 0.999852633,
2571.163806735, 0.999840184,
2571.184238563, 0.999714078,
2571.204670392, 0.999700828,
2571.225102320, 0.999800943,
2571.245534047, 0.999892364,
2571.286397801, 0.999745869,
2571.306829527, 0.999725098,
2571.327261353, 0.999736438,
2571.347693279, 0.999696525,
2571.368125004, 0.999694462,
2571.388556829, 0.999784543,
2571.408988753, 0.999830708,
2571.429420477, 0.999757137,
2571.449852301, 0.999743363,
2571.470284224, 0.999710006,
2571.490715947, 0.999833829,
2571.511147769, 0.999957411,
2571.531579691, 0.999909833,
2571.552011512, 0.999731263,
2571.572443234, 0.999653652,
2571.592875154, 0.999839544,
2571.613306975, 0.999709608,
2571.633738695, 0.999693525,
2571.654170614, 0.999791914,
2571.674602433, 0.999863970,
2571.695034152, 0.999784208,
2571.715466071, 0.999772222,
2571.735897889, 0.999714450,
2571.776761523, 0.999719451,
2571.797193340, 0.999719104,
2571.817625157, 0.999751565,
2571.838056973, 0.999790560,
2571.858488788, 0.999704834,
2571.878920603, 0.999698870,
2571.899352418, 0.999654719,
2571.919784233, 0.999626700,
2571.940216047, 0.999534198,
2571.960647860, 0.999482425,
2571.981079674, 0.999650430,
2572.001511487, 0.999827496,
2572.021943299, 0.999717211,
2572.042375111, 0.999748722,
2572.062807023, 0.999812496,
2572.083238734, 0.999696258,
2572.103670545, 0.999554783,
2572.124102456, 0.999733307,
2572.144534166, 0.999773306,
2572.164965976, 0.999670407,
2572.185397885, 0.999765829,
2572.205829594, 0.999709953,
2572.226261402, 0.999703565,
2572.267125019, 0.999668070,
2572.287556826, 0.999676750,
2572.307988733, 0.999793702,
2572.328420440, 0.999633861,
2572.348852246, 0.999671539,
2572.369284152, 0.999817697,
2572.389715957, 0.999760330,
2572.410147662, 0.999697739,
2572.430579567, 0.999775005,
2572.451011371, 0.999751303,
2572.471443075, 0.999698640,
2572.512306782, 0.999811821,
2572.532738485, 0.999922366,
2572.553170387, 0.999829530,
2572.573602189, 0.999693681,
2572.594033891, 0.999599355,
2572.614465792, 0.999699533,
2572.634897593, 0.999734689,
2572.655329293, 0.999659377,
2572.675761193, 0.999667137,
2572.696192893, 0.999716317,
2572.716624793, 0.999731622,
2572.777920188, 0.999507677,
2572.798351986, 0.999660043,
2572.818783783, 0.999699639,
2572.839215580, 0.999712223,
2572.859647377, 0.999556619,
2572.880079173, 0.999329046,
2572.900511069, 0.999340014,
2572.920942765, 0.999518354,
2572.941374560, 0.999766524,
2572.961806454, 0.999613044,
2572.982238149, 0.999663223,
2573.002669943, 0.999765310,
2573.023101836, 0.999739393,
2573.043533529, 0.999790672,
2573.063965322, 0.999725064,
2573.084397215, 0.999644928,
2573.104828907, 0.999639765,
2573.125260699, 0.999744312,
2573.145692590, 0.999893666,
2573.166124281, 0.999912603,
2573.186556071, 0.999707348,
2573.206987962, 0.999603490,
2573.227419751, 0.999674732,
2573.247851441, 0.999748283,
2573.268283330, 0.999699718,
2573.288715118, 0.999666294,
2573.309146807, 0.999773948,
2573.329578695, 0.999758113,
2573.350010482, 0.999755282,
2573.370442169, 0.999652812,
2573.390874056, 0.999646689,
2573.411305742, 0.999538301,
2573.431737528, 0.999488525,
2573.452169414, 0.999711068,
2573.493032884, 0.999737419,
2573.513464769, 0.999713498,
2573.533896453, 0.999737684,
2573.554328337, 0.999736351,
2573.574760120, 0.999720437,
2573.595191903, 0.999723893,
2573.615623686, 0.999758732,
2573.636055468, 0.999761270,
2573.656487250, 0.999689460,
2573.676919032, 0.999705126,
2573.697350813, 0.999702304,
2573.717782594, 0.999733632,
2573.738214474, 0.999813621,
2573.758646154, 0.999785259,
2573.779077934, 0.999679694,
2573.799509813, 0.999651628,
2573.819941492, 0.999532866,
2573.840373271, 0.999464787,
2573.860805149, 0.999596658,
2573.881236827, 0.999694751,
2573.901668604, 0.999787335,
2573.922100481, 0.999609548,
2573.942532158, 0.999617323,
2573.962963934, 0.999668490,
2573.983395810, 0.999699815,
2574.003827486, 0.999737601,
2574.024259261, 0.999709354,
2574.044691136, 0.999653221,
2574.065122910, 0.999686243,
2574.085554584, 0.999678429,
2574.105986458, 0.999774457,
2574.126418232, 0.999798422,
2574.146849905, 0.999808745,
2574.167281777, 0.999748382,
2574.187713550, 0.999587351,
2574.228577093, 0.999681409,
2574.249008764, 0.999750420,
2574.269440535, 0.999755362,
2574.289872406, 0.999767920,
2574.310304076, 0.999773095,
2574.330735846, 0.999722808,
2574.351167715, 0.999782392,
2574.371599384, 0.999762170,
2574.392031153, 0.999755098,
2574.412463021, 0.999739275,
2574.432894789, 0.999731945,
2574.453326556, 0.999652029,
2574.473758323, 0.999699856,
2574.494190090, 0.999640951,
2574.514621857, 0.999737835,
2574.535053623, 0.999713720,
2574.575917254, 0.999785180,
2574.596348919, 0.999745371,
2574.616780683, 0.999773864,
2574.637212548, 0.999760924,
2574.657644212, 0.999878685,
2574.678075975, 0.999872999,
2574.739371264, 0.999696041,
2574.759803126, 0.999761564,
2574.780234788, 0.999493826,
2574.800666549, 0.999354631,
2574.821098410, 0.999318216,
2574.841530071, 0.999578648,
2574.861961831, 0.999782402,
2574.882393691, 0.999773945,
2574.902825451, 0.999777002,
2574.923257110, 0.999757666,
2574.943688969, 0.999733322,
2574.964120727, 0.999615146,
2574.984552386, 0.999575337,
2575.004984243, 0.999668037,
2575.025415901, 0.999705694,
2575.045847658, 0.999716580,
2575.066279515, 0.999776482,
2575.086711171, 0.999737776,
2575.107142927, 0.999688152,
2575.127574783, 0.999719000,
2575.148006438, 0.999725095,
2575.168438193, 0.999710416,
2575.209301702, 0.999724159,
2575.229733456, 0.999634221,
2575.250165309, 0.999693063,
2575.270597062, 0.999663884,
2575.291028815, 0.999664437,
2575.311460568, 0.999662330,
2575.331892320, 0.999680797,
2575.352324072, 0.999718750,
2575.372755823, 0.999758862,
2575.393187574, 0.999710783,
2575.413619425, 0.999777656,
2575.434051075, 0.999788834,
2575.454482825, 0.999702449,
2575.474914675, 0.999682497,
2575.495346324, 0.999695586,
2575.515778073, 0.999658454,
2575.536209922, 0.999718202,
2575.556641570, 0.999765541,
2575.577073318, 0.999802112,
2575.597505165, 0.999721951,
2575.617936813, 0.999706850,
2575.638368560, 0.999679081,
2575.658800406, 0.999635709,
2575.679232052, 0.999633668,
2575.699663798, 0.999666107,
2575.720095644, 0.999735672,
2575.740527289, 0.999498097,
2575.760959033, 0.999464882,
2575.781390878, 0.999382776,
2575.801822522, 0.999605747,
2575.822254265, 0.999685874,
2575.842686109, 0.999725305,
2575.863117752, 0.999759753,
2575.883549495, 0.999635213,
2575.903981337, 0.999653905,
2575.944844721, 0.999672299,
2575.965276562, 0.999698350,
2575.985708203, 0.999746223,
2576.006139943, 0.999676975,
2576.026571783, 0.999695358,
2576.047003423, 0.999653163,
2576.067435163, 0.999722230,
2576.087867002, 0.999734634,
2576.108298741, 0.999686803,
2576.128730480, 0.999768887,
2576.149162218, 0.999718886,
2576.169593956, 0.999687221,
2576.190025693, 0.999780930,
2576.210457430, 0.999771616,
2576.230889167, 0.999773831,
2576.251321004, 0.999699566,
2576.271752640, 0.999693118,
2576.292184376, 0.999627144,
2576.312616211, 0.999699554,
2576.333047846, 0.999695526,
2576.353479581, 0.999694635,
2576.373911415, 0.999725159,
2576.394343049, 0.999680613,
2576.414774783, 0.999721344,
2576.435206616, 0.999759457,
2576.455638250, 0.999687887,
2576.476069982, 0.999698973,
2576.496501714, 0.999716194,
2576.516933447, 0.999685246,
2576.537365178, 0.999717988,
2576.557796910, 0.999730966,
2576.578228641, 0.999728802,
2576.598660371, 0.999696943,
2576.619092202, 0.999731220,
2576.639523832, 0.999695800,
2576.700819020, 0.999485917,
2576.721250748, 0.999312432,
2576.741682577, 0.999387715,
2576.762114205, 0.999636212,
2576.782545932, 0.999748946,
2576.802977760, 0.999704621,
2576.823409386, 0.999658416,
2576.843841113, 0.999695407,
2576.864272939, 0.999688229,
2576.884704565, 0.999696517,
2576.905136291, 0.999683494,
2576.925568116, 0.999721005,
2576.945999841, 0.999692252,
2576.966431566, 0.999733744,
2576.986863290, 0.999798782,
2577.007295014, 0.999755756,
2577.027726738, 0.999742639,
2577.048158461, 0.999711708,
2577.068590184, 0.999661371,
2577.089022007, 0.999687676,
2577.109453629, 0.999681635,
2577.129885351, 0.999799113,
2577.150317172, 0.999772472,
2577.170748794, 0.999700925,
2577.191180515, 0.999716989,
2577.211612335, 0.999747402,
2577.232043956, 0.999680304,
2577.252475676, 0.999678668,
2577.272907395, 0.999699322,
2577.293339115, 0.999737725,
2577.313770834, 0.999818843,
2577.334202552, 0.999775685,
